Freq MHz req,Freq MHz act,IRQ /s,RC6 %,Power W gpu,Power W pkg,RCS/0 %,RCS/0 se,RCS/0 wa,BCS/0 %,BCS/0 se,BCS/0 wa,VCS/0 %,VCS/0 se,VCS/0 wa,VECS/0 %,VECS/0 se,VECS/0 wa
182.534036,182.534036,207.200798,8.318469,2.386521,13.495898,60.281177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
178.570518,178.570518,207.181264,9.013245,2.318192,12.342515,59.774150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
182.255491,182.255491,205.899447,8.572226,2.367967,13.450470,61.161157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
179.372532,179.372532,204.857154,8.799832,2.393730,13.773520,59.852032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180.519738,180.519738,203.208012,8.454716,2.400008,13.862694,60.256137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49.032766,49.032766,109.833396,70.605668,0.676774,8.334253,19.164518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.582743,24.565357,90.400515,82.300659,0.389351,7.671636,11.822026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.115454,51.132143,86.531319,69.641379,0.491175,8.038251,11.829004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.594566,30.594566,89.809854,79.205012,0.403407,8.271250,11.866294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.679922,24.679922,90.822113,81.973567,0.415028,7.860579,11.872317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.734835,20.734835,85.901460,84.876876,0.310965,7.502927,9.903307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.047919,74.047919,122.425893,59.650709,1.101439,10.503379,27.677472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
